experiment_type,conditions,results,gene_id,publication_id
Microarray,"{""temperature"": ""34\u00b0C"", ""ph"": 7.1, ""time"": ""11h""}","{""measurement"": 94.43, ""p_value"": 0.0225, ""fold_change"": -0.21}",639,288
Microarray,"{""temperature"": ""20\u00b0C"", ""ph"": 7.9, ""time"": ""1h""}","{""measurement"": 27.43, ""p_value"": 0.0179, ""fold_change"": 0.52}",663,351
WGS,"{""temperature"": ""30\u00b0C"", ""ph"": 7.5, ""time"": ""37h""}","{""measurement"": 76.79, ""p_value"": 0.0411, ""fold_change"": -1.77}",291,54
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.9, ""time"": ""44h""}","{""measurement"": 66.13, ""p_value"": 0.0446, ""fold_change"": -4.44}",165,483
RNA-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.5, ""time"": ""30h""}","{""measurement"": 70.91, ""p_value"": 0.0198, ""fold_change"": 3.41}",561,114
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""14h""}","{""measurement"": 67.12, ""p_value"": 0.0361, ""fold_change"": 1.3}",961,193
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.9, ""time"": ""31h""}","{""measurement"": 9.48, ""p_value"": 0.0066, ""fold_change"": -1.96}",288,181
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.1, ""time"": ""7h""}","{""measurement"": 91.51, ""p_value"": 0.0202, ""fold_change"": -3.55}",59,109
Metabolomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.2, ""time"": ""22h""}","{""measurement"": 31.79, ""p_value"": 0.0055, ""fold_change"": -1.98}",785,312
RNA-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.2, ""time"": ""21h""}","{""measurement"": 6.91, ""p_value"": 0.0265, ""fold_change"": -2.48}",228,106
ATAC-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.9, ""time"": ""27h""}","{""measurement"": 94.77, ""p_value"": 0.0146, ""fold_change"": -4.3}",244,76
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 7.4, ""time"": ""26h""}","{""measurement"": 32.0, ""p_value"": 0.031, ""fold_change"": -2.01}",896,489
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 6.0, ""time"": ""47h""}","{""measurement"": 48.23, ""p_value"": 0.0122, ""fold_change"": 4.71}",953,201
WES,"{""temperature"": ""37\u00b0C"", ""ph"": 6.6, ""time"": ""30h""}","{""measurement"": 42.68, ""p_value"": 0.014, ""fold_change"": 2.48}",904,138
ChIP-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.9, ""time"": ""42h""}","{""measurement"": 51.26, ""p_value"": 0.0417, ""fold_change"": -2.49}",517,360
WES,"{""temperature"": ""34\u00b0C"", ""ph"": 7.3, ""time"": ""5h""}","{""measurement"": 65.44, ""p_value"": 0.0175, ""fold_change"": -1.53}",82,329
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 7.8, ""time"": ""21h""}","{""measurement"": 45.37, ""p_value"": 0.0258, ""fold_change"": -4.31}",196,482
ChIP-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.8, ""time"": ""16h""}","{""measurement"": 66.41, ""p_value"": 0.0491, ""fold_change"": 1.47}",293,33
ATAC-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.8, ""time"": ""28h""}","{""measurement"": 92.17, ""p_value"": 0.0207, ""fold_change"": -3.45}",44,128
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.0, ""time"": ""47h""}","{""measurement"": 96.52, ""p_value"": 0.0312, ""fold_change"": 0.76}",768,435
ChIP-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 6.8, ""time"": ""12h""}","{""measurement"": 0.23, ""p_value"": 0.0048, ""fold_change"": -0.25}",682,324
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.8, ""time"": ""46h""}","{""measurement"": 79.45, ""p_value"": 0.0208, ""fold_change"": 3.67}",985,255
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 6.1, ""time"": ""26h""}","{""measurement"": 24.09, ""p_value"": 0.0286, ""fold_change"": -1.61}",744,496
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.2, ""time"": ""10h""}","{""measurement"": 34.24, ""p_value"": 0.0477, ""fold_change"": -2.97}",769,340
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 7.8, ""time"": ""48h""}","{""measurement"": 71.71, ""p_value"": 0.0144, ""fold_change"": 2.94}",295,120
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.9, ""time"": ""19h""}","{""measurement"": 56.54, ""p_value"": 0.0099, ""fold_change"": -4.41}",353,423
Metabolomics,"{""temperature"": ""27\u00b0C"", ""ph"": 7.5, ""time"": ""17h""}","{""measurement"": 87.85, ""p_value"": 0.0208, ""fold_change"": -1.12}",509,168
ATAC-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.7, ""time"": ""32h""}","{""measurement"": 0.24, ""p_value"": 0.0245, ""fold_change"": -3.79}",353,411
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.8, ""time"": ""39h""}","{""measurement"": 41.63, ""p_value"": 0.0186, ""fold_change"": 3.93}",575,113
ChIP-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.2, ""time"": ""5h""}","{""measurement"": 56.97, ""p_value"": 0.0488, ""fold_change"": 0.93}",561,497
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.3, ""time"": ""18h""}","{""measurement"": 52.53, ""p_value"": 0.0041, ""fold_change"": 1.04}",897,146
Microarray,"{""temperature"": ""22\u00b0C"", ""ph"": 6.3, ""time"": ""20h""}","{""measurement"": 23.7, ""p_value"": 0.0391, ""fold_change"": -4.59}",276,431
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 6.2, ""time"": ""3h""}","{""measurement"": 25.77, ""p_value"": 0.0275, ""fold_change"": 2.2}",377,34
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 7.3, ""time"": ""20h""}","{""measurement"": 94.23, ""p_value"": 0.0397, ""fold_change"": -1.02}",699,180
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 6.1, ""time"": ""33h""}","{""measurement"": 59.13, ""p_value"": 0.0291, ""fold_change"": -2.7}",602,169
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.3, ""time"": ""23h""}","{""measurement"": 12.21, ""p_value"": 0.0012, ""fold_change"": -2.17}",38,422
ChIP-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.6, ""time"": ""43h""}","{""measurement"": 87.73, ""p_value"": 0.0121, ""fold_change"": 0.36}",729,294
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.3, ""time"": ""34h""}","{""measurement"": 22.51, ""p_value"": 0.006, ""fold_change"": -3.69}",217,31
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.0, ""time"": ""28h""}","{""measurement"": 17.74, ""p_value"": 0.0193, ""fold_change"": -3.55}",470,18
Proteomics,"{""temperature"": ""34\u00b0C"", ""ph"": 6.5, ""time"": ""23h""}","{""measurement"": 62.21, ""p_value"": 0.0131, ""fold_change"": -1.0}",751,397
Proteomics,"{""temperature"": ""29\u00b0C"", ""ph"": 7.3, ""time"": ""21h""}","{""measurement"": 91.96, ""p_value"": 0.0086, ""fold_change"": 0.75}",811,231
ChIP-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.9, ""time"": ""16h""}","{""measurement"": 32.34, ""p_value"": 0.0175, ""fold_change"": -3.45}",247,324
Metabolomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.9, ""time"": ""2h""}","{""measurement"": 46.9, ""p_value"": 0.021, ""fold_change"": -2.86}",69,286
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 7.5, ""time"": ""21h""}","{""measurement"": 51.01, ""p_value"": 0.0201, ""fold_change"": 0.38}",479,428
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.6, ""time"": ""43h""}","{""measurement"": 31.15, ""p_value"": 0.0396, ""fold_change"": 2.97}",710,71
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.9, ""time"": ""48h""}","{""measurement"": 81.43, ""p_value"": 0.0244, ""fold_change"": 2.1}",462,460
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.1, ""time"": ""20h""}","{""measurement"": 91.09, ""p_value"": 0.0405, ""fold_change"": 0.01}",44,492
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""16h""}","{""measurement"": 27.57, ""p_value"": 0.0108, ""fold_change"": -1.07}",344,330
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 7.3, ""time"": ""44h""}","{""measurement"": 51.77, ""p_value"": 0.0417, ""fold_change"": -1.07}",205,160
Metabolomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.3, ""time"": ""8h""}","{""measurement"": 15.59, ""p_value"": 0.0398, ""fold_change"": 4.44}",935,435
Metabolomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.8, ""time"": ""33h""}","{""measurement"": 30.19, ""p_value"": 0.0362, ""fold_change"": 0.42}",801,80
ChIP-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.9, ""time"": ""18h""}","{""measurement"": 15.46, ""p_value"": 0.0151, ""fold_change"": 4.76}",462,356
WES,"{""temperature"": ""21\u00b0C"", ""ph"": 6.2, ""time"": ""40h""}","{""measurement"": 37.82, ""p_value"": 0.0348, ""fold_change"": -0.97}",321,420
ATAC-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.8, ""time"": ""35h""}","{""measurement"": 64.87, ""p_value"": 0.0374, ""fold_change"": -0.97}",144,406
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.8, ""time"": ""11h""}","{""measurement"": 92.5, ""p_value"": 0.0182, ""fold_change"": 4.95}",726,215
RNA-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.3, ""time"": ""38h""}","{""measurement"": 70.61, ""p_value"": 0.0303, ""fold_change"": -0.92}",4,238
ChIP-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.2, ""time"": ""44h""}","{""measurement"": 5.22, ""p_value"": 0.0226, ""fold_change"": 0.99}",106,243
ChIP-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 6.2, ""time"": ""29h""}","{""measurement"": 30.1, ""p_value"": 0.0429, ""fold_change"": -2.96}",963,112
Microarray,"{""temperature"": ""31\u00b0C"", ""ph"": 6.3, ""time"": ""37h""}","{""measurement"": 76.17, ""p_value"": 0.0231, ""fold_change"": -4.9}",317,13
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.5, ""time"": ""5h""}","{""measurement"": 54.47, ""p_value"": 0.0406, ""fold_change"": 3.02}",145,36
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 7.5, ""time"": ""20h""}","{""measurement"": 59.31, ""p_value"": 0.0155, ""fold_change"": 2.09}",709,433
Proteomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.2, ""time"": ""24h""}","{""measurement"": 36.27, ""p_value"": 0.0226, ""fold_change"": 0.75}",690,346
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 7.2, ""time"": ""16h""}","{""measurement"": 6.27, ""p_value"": 0.047, ""fold_change"": 3.94}",530,68
WES,"{""temperature"": ""21\u00b0C"", ""ph"": 6.4, ""time"": ""45h""}","{""measurement"": 90.79, ""p_value"": 0.0059, ""fold_change"": 4.44}",475,179
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 7.2, ""time"": ""36h""}","{""measurement"": 32.02, ""p_value"": 0.0188, ""fold_change"": -2.74}",201,287
Microarray,"{""temperature"": ""35\u00b0C"", ""ph"": 7.9, ""time"": ""13h""}","{""measurement"": 72.02, ""p_value"": 0.0481, ""fold_change"": 2.72}",664,21
Microarray,"{""temperature"": ""22\u00b0C"", ""ph"": 7.1, ""time"": ""14h""}","{""measurement"": 5.05, ""p_value"": 0.011, ""fold_change"": -2.1}",723,27
Metabolomics,"{""temperature"": ""33\u00b0C"", ""ph"": 6.8, ""time"": ""19h""}","{""measurement"": 31.79, ""p_value"": 0.0025, ""fold_change"": 3.77}",417,454
ChIP-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 6.1, ""time"": ""18h""}","{""measurement"": 70.17, ""p_value"": 0.0409, ""fold_change"": 0.31}",535,202
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.0, ""time"": ""6h""}","{""measurement"": 20.91, ""p_value"": 0.0378, ""fold_change"": 3.45}",115,412
ATAC-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 7.3, ""time"": ""16h""}","{""measurement"": 81.28, ""p_value"": 0.001, ""fold_change"": -4.61}",520,225
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.1, ""time"": ""14h""}","{""measurement"": 57.44, ""p_value"": 0.034, ""fold_change"": 2.33}",361,299
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.4, ""time"": ""38h""}","{""measurement"": 21.12, ""p_value"": 0.0466, ""fold_change"": -3.7}",367,124
WGS,"{""temperature"": ""34\u00b0C"", ""ph"": 7.9, ""time"": ""27h""}","{""measurement"": 53.78, ""p_value"": 0.013, ""fold_change"": 4.5}",900,216
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 6.2, ""time"": ""8h""}","{""measurement"": 47.46, ""p_value"": 0.0343, ""fold_change"": -2.01}",285,409
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 7.3, ""time"": ""36h""}","{""measurement"": 98.04, ""p_value"": 0.0139, ""fold_change"": -3.52}",158,496
ATAC-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 8.0, ""time"": ""22h""}","{""measurement"": 46.46, ""p_value"": 0.006, ""fold_change"": 3.43}",894,69
WES,"{""temperature"": ""32\u00b0C"", ""ph"": 7.2, ""time"": ""3h""}","{""measurement"": 97.26, ""p_value"": 0.0157, ""fold_change"": -4.07}",889,100
ChIP-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.5, ""time"": ""16h""}","{""measurement"": 49.77, ""p_value"": 0.0147, ""fold_change"": 0.2}",405,191
Proteomics,"{""temperature"": ""28\u00b0C"", ""ph"": 6.6, ""time"": ""41h""}","{""measurement"": 27.85, ""p_value"": 0.0014, ""fold_change"": 3.22}",5,238
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.1, ""time"": ""46h""}","{""measurement"": 29.23, ""p_value"": 0.0331, ""fold_change"": -4.07}",81,333
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.6, ""time"": ""37h""}","{""measurement"": 29.39, ""p_value"": 0.0096, ""fold_change"": -3.81}",198,250
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 7.1, ""time"": ""30h""}","{""measurement"": 23.98, ""p_value"": 0.0015, ""fold_change"": 4.08}",682,257
Microarray,"{""temperature"": ""31\u00b0C"", ""ph"": 6.5, ""time"": ""29h""}","{""measurement"": 51.28, ""p_value"": 0.0437, ""fold_change"": 0.21}",364,73
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.4, ""time"": ""31h""}","{""measurement"": 87.55, ""p_value"": 0.0268, ""fold_change"": 1.09}",202,138
ChIP-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.7, ""time"": ""1h""}","{""measurement"": 6.69, ""p_value"": 0.0224, ""fold_change"": -1.89}",129,386
Proteomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.6, ""time"": ""27h""}","{""measurement"": 47.13, ""p_value"": 0.008, ""fold_change"": 1.58}",220,443
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.5, ""time"": ""3h""}","{""measurement"": 72.14, ""p_value"": 0.0118, ""fold_change"": -2.74}",619,461
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.7, ""time"": ""34h""}","{""measurement"": 94.59, ""p_value"": 0.0336, ""fold_change"": 4.9}",529,324
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.8, ""time"": ""23h""}","{""measurement"": 73.67, ""p_value"": 0.0082, ""fold_change"": -2.25}",555,458
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 8.0, ""time"": ""3h""}","{""measurement"": 30.31, ""p_value"": 0.0493, ""fold_change"": 4.56}",224,380
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 7.1, ""time"": ""4h""}","{""measurement"": 99.37, ""p_value"": 0.0448, ""fold_change"": -4.33}",326,52
Proteomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.7, ""time"": ""38h""}","{""measurement"": 68.87, ""p_value"": 0.0148, ""fold_change"": 3.59}",672,244
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 7.7, ""time"": ""33h""}","{""measurement"": 77.04, ""p_value"": 0.0355, ""fold_change"": 0.86}",457,363
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 8.0, ""time"": ""11h""}","{""measurement"": 94.48, ""p_value"": 0.0229, ""fold_change"": -4.14}",224,202
Metabolomics,"{""temperature"": ""32\u00b0C"", ""ph"": 7.7, ""time"": ""6h""}","{""measurement"": 73.34, ""p_value"": 0.0482, ""fold_change"": -3.71}",162,326
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.3, ""time"": ""13h""}","{""measurement"": 35.84, ""p_value"": 0.0189, ""fold_change"": -2.42}",840,30
Microarray,"{""temperature"": ""36\u00b0C"", ""ph"": 7.3, ""time"": ""36h""}","{""measurement"": 84.69, ""p_value"": 0.0239, ""fold_change"": 0.46}",233,129
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 7.4, ""time"": ""5h""}","{""measurement"": 10.76, ""p_value"": 0.0199, ""fold_change"": 4.98}",387,440
Microarray,"{""temperature"": ""22\u00b0C"", ""ph"": 6.2, ""time"": ""31h""}","{""measurement"": 83.98, ""p_value"": 0.0131, ""fold_change"": 3.44}",33,290
ChIP-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 6.5, ""time"": ""37h""}","{""measurement"": 15.95, ""p_value"": 0.013, ""fold_change"": 0.02}",731,14
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 7.7, ""time"": ""39h""}","{""measurement"": 84.01, ""p_value"": 0.0362, ""fold_change"": -1.05}",64,6
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 7.6, ""time"": ""19h""}","{""measurement"": 47.73, ""p_value"": 0.0169, ""fold_change"": 3.91}",446,275
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 6.8, ""time"": ""33h""}","{""measurement"": 43.47, ""p_value"": 0.0099, ""fold_change"": -1.38}",249,411
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 6.7, ""time"": ""31h""}","{""measurement"": 54.84, ""p_value"": 0.0346, ""fold_change"": 3.0}",830,368
WGS,"{""temperature"": ""34\u00b0C"", ""ph"": 7.0, ""time"": ""17h""}","{""measurement"": 42.65, ""p_value"": 0.0378, ""fold_change"": 4.69}",960,148
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 7.4, ""time"": ""5h""}","{""measurement"": 38.12, ""p_value"": 0.0338, ""fold_change"": 2.74}",697,82
RNA-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.6, ""time"": ""27h""}","{""measurement"": 84.69, ""p_value"": 0.0284, ""fold_change"": -1.09}",397,468
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 6.7, ""time"": ""28h""}","{""measurement"": 73.85, ""p_value"": 0.0029, ""fold_change"": -0.98}",301,256
RNA-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 7.1, ""time"": ""27h""}","{""measurement"": 51.91, ""p_value"": 0.0133, ""fold_change"": 0.06}",939,260
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 6.2, ""time"": ""31h""}","{""measurement"": 76.25, ""p_value"": 0.0189, ""fold_change"": 1.6}",559,125
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 7.5, ""time"": ""37h""}","{""measurement"": 75.82, ""p_value"": 0.0135, ""fold_change"": 2.67}",519,42
RNA-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.8, ""time"": ""9h""}","{""measurement"": 15.28, ""p_value"": 0.0354, ""fold_change"": 3.32}",108,213
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.8, ""time"": ""7h""}","{""measurement"": 23.06, ""p_value"": 0.0172, ""fold_change"": 1.87}",998,59
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 6.6, ""time"": ""11h""}","{""measurement"": 72.23, ""p_value"": 0.0279, ""fold_change"": -3.59}",466,54
ATAC-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.0, ""time"": ""24h""}","{""measurement"": 12.05, ""p_value"": 0.0009, ""fold_change"": -3.48}",806,121
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.7, ""time"": ""37h""}","{""measurement"": 96.09, ""p_value"": 0.0484, ""fold_change"": 3.94}",692,475
WES,"{""temperature"": ""35\u00b0C"", ""ph"": 7.0, ""time"": ""13h""}","{""measurement"": 0.3, ""p_value"": 0.0239, ""fold_change"": -4.89}",331,358
WES,"{""temperature"": ""27\u00b0C"", ""ph"": 6.2, ""time"": ""11h""}","{""measurement"": 24.61, ""p_value"": 0.0011, ""fold_change"": -2.16}",249,499
Microarray,"{""temperature"": ""36\u00b0C"", ""ph"": 7.0, ""time"": ""19h""}","{""measurement"": 8.94, ""p_value"": 0.0224, ""fold_change"": 4.1}",845,29
Microarray,"{""temperature"": ""34\u00b0C"", ""ph"": 6.2, ""time"": ""33h""}","{""measurement"": 72.42, ""p_value"": 0.0038, ""fold_change"": 1.79}",449,301
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.5, ""time"": ""34h""}","{""measurement"": 73.22, ""p_value"": 0.0374, ""fold_change"": 0.36}",658,208
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.2, ""time"": ""13h""}","{""measurement"": 67.91, ""p_value"": 0.0258, ""fold_change"": -1.89}",164,165
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.4, ""time"": ""9h""}","{""measurement"": 13.6, ""p_value"": 0.0391, ""fold_change"": -0.37}",698,224
Proteomics,"{""temperature"": ""29\u00b0C"", ""ph"": 6.4, ""time"": ""34h""}","{""measurement"": 59.78, ""p_value"": 0.008, ""fold_change"": 2.12}",845,395
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.6, ""time"": ""21h""}","{""measurement"": 68.33, ""p_value"": 0.0423, ""fold_change"": 2.93}",372,340
WGS,"{""temperature"": ""31\u00b0C"", ""ph"": 7.6, ""time"": ""42h""}","{""measurement"": 95.84, ""p_value"": 0.0465, ""fold_change"": 1.56}",294,331
RNA-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.5, ""time"": ""46h""}","{""measurement"": 85.21, ""p_value"": 0.0409, ""fold_change"": -2.27}",267,465
Metabolomics,"{""temperature"": ""31\u00b0C"", ""ph"": 7.7, ""time"": ""35h""}","{""measurement"": 9.24, ""p_value"": 0.0089, ""fold_change"": -2.16}",322,317
Proteomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.1, ""time"": ""42h""}","{""measurement"": 12.17, ""p_value"": 0.0208, ""fold_change"": -1.47}",911,117
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 7.0, ""time"": ""9h""}","{""measurement"": 87.29, ""p_value"": 0.0059, ""fold_change"": 2.03}",817,438
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.5, ""time"": ""19h""}","{""measurement"": 29.9, ""p_value"": 0.0146, ""fold_change"": -4.52}",394,32
Metabolomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.2, ""time"": ""32h""}","{""measurement"": 57.7, ""p_value"": 0.0325, ""fold_change"": -2.91}",225,481
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 7.3, ""time"": ""24h""}","{""measurement"": 70.09, ""p_value"": 0.0117, ""fold_change"": 4.82}",861,124
RNA-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 6.7, ""time"": ""24h""}","{""measurement"": 38.21, ""p_value"": 0.0438, ""fold_change"": 0.95}",656,217
WGS,"{""temperature"": ""37\u00b0C"", ""ph"": 7.4, ""time"": ""33h""}","{""measurement"": 34.44, ""p_value"": 0.0027, ""fold_change"": -3.11}",119,366
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 6.3, ""time"": ""27h""}","{""measurement"": 69.08, ""p_value"": 0.0189, ""fold_change"": 1.69}",553,12
ATAC-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 6.8, ""time"": ""25h""}","{""measurement"": 61.33, ""p_value"": 0.0484, ""fold_change"": -3.53}",425,263
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 7.0, ""time"": ""30h""}","{""measurement"": 54.41, ""p_value"": 0.0385, ""fold_change"": -1.31}",568,132
WGS,"{""temperature"": ""34\u00b0C"", ""ph"": 6.7, ""time"": ""2h""}","{""measurement"": 23.25, ""p_value"": 0.0091, ""fold_change"": 3.34}",371,494
